Countries,GDP Per Capita in 2021
 Luxembourg,"125,923.00"
 Ireland,"90,478.00"
 Switzerland,"90,358.00"
 Norway,"76,408.00"
 United States,"66,144.00"
 Denmark,"63,645.00"
 Singapore,"62,113.00"
 Iceland,"58,371.00"
 Netherlands,"58,029.00"
 Sweden,"57,660.00"
Australia,"57,211.00"
Qatar,"55,417.00"
Austria,"54,820.00"
Finland,"54,817.00"
Germany,"51,967.00"
Belgium,"50,051.00"
Macao SAR,"48,207.00"
Hong Kong SAR,"47,990.00"
Canada,"45,871.00"
France,"44,770.00"
San Marino,"44,676.00"
Israel,"43,439.00"
United Kingdom,"42,236.00"
New Zealand,"41,793.00"
Japan,"40,733.00"
Italy,"35,062.00"
United Arab Emirates,"32,686.00"
South Korea,"32,305.00"
Malta,"32,099.00"
The Bahamas,"31,532.00"
Puerto Rico,"31,207.00"
Spain,"31,178.00"
Europe,"31,022.00"
Cyprus,"29,686.00"
Taiwan,"28,890.00"
Slovenia,"28,734.00"
Estonia,"26,378.00"
Brunei,"26,274.00"
Czech Republic,"25,991.00"
Portugal,"25,097.00"
Bahrain,"23,710.00"
Kuwait,"23,138.00"
Lithuania,"22,752.00"
Aruba,"22,710.00"
Slovakia,"21,606.00"
Saudi Arabia,"20,742.00"
Greece,"20,521.00"
Latvia,"19,934.00"
Hungary,"17,645.00"
Barbados,"17,472.00"
Poland,"16,740.00"
Trinidad and Tobago,"16,622.00"
Saint Kitts and Nevis,"16,491.00"
Croatia,"16,402.00"
Uruguay,"16,297.00"
Romania,"14,916.00"
Antigua and Barbuda,"14,748.00"
Oman,"14,675.00"
Panama,"14,390.00"
Chile,"14,209.00"
Maldives,"14,194.00"
Palau,"13,180.00"
Seychelles,"12,648.00"
Costa Rica,"11,805.00"
China,"11,713.00"
Malaysia,"11,378.00"
Bulgaria,"11,349.00"
Russia,"10,793.00"
Saint Lucia,"10,636.00"
Grenada,"10,211.00"
Guyana,"9,913.00"
Nauru,"9,865.00"
Mauritius,"9,630.00"
Kazakhstan,"9,454.00"
Montenegro,"9,152.00"
Argentina,"9,095.00"
Turkmenistan,"8,874.00"
Serbia,"8,444.00"
Mexico,"8,403.00"
Dominica,"8,111.00"
Equatorial Guinea,"8,000.00"
Gabon,"7,785.00"
Dominican Republic,"7,740.00"
Thailand,"7,675.00"
Iran,"7,668.00"
Turkey,"7,659.00"
Saint Vincent and the Grenadines,"7,401.00"
Botswana,"7,036.00"
North Macedonia,"6,933.00"
Brazil,"6,728.00"
Bosnia and Herzegovina,"6,536.00"
Belarus,"6,513.00"
Peru,"6,229.00"
Jamaica,"5,643.00"
Ecuador,"5,589.00"
Colombia,"5,457.00"
South Africa,"5,236.00"
Paraguay,"5,207.00"
Albania,"5,161.00"
Tonga,"4,949.00"
Suriname,"4,921.00"
Fiji,"4,822.00"
Iraq,"4,767.00"
Kosovo,"4,753.00"
Libya,"4,733.00"
Georgia,"4,714.00"
Moldova,"4,527.00"
Armenia,"4,427.00"
Namibia,"4,412.00"
Azerbaijan,"4,404.00"
Guatemala,"4,385.00"
Jordan,"4,347.00"
Tuvalu,"4,296.00"
Indonesia,"4,287.00"
Mongolia,"4,139.00"
Marshall Islands,"4,092.00"
Samoa,"4,053.00"
El Salvador,"4,023.00"
Micronesia,"3,995.00"
Belize,"3,968.00"
Sri Lanka,"3,928.00"
Vietnam,"3,759.00"
Eswatini,"3,697.00"
Cabo Verde,"3,675.00"
Bolivia,"3,618.00"
Ukraine,"3,615.00"
Egypt,"3,606.00"
Philippines,"3,602.00"
North Africa,"3,560.00"
Algeria,"3,449.00"
Bhutan,"3,447.00"
Morocco,"3,409.00"
Tunisia,"3,380.00"
Djibouti,"3,275.00"
West Bank and Gaza,"3,060.00"
Vanuatu,"2,967.00"
Laos,"2,614.00"
Papua New Guinea,"2,596.00"
Honduras,"2,593.00"
Côte d'Ivoire,"2,571.00"
Solomon Islands,"2,501.00"
Ghana,"2,300.00"
Republic of Congo,"2,271.00"
Nigeria,"2,209.00"
São Tomé and Príncipe,"2,133.00"
Angola,"2,130.00"
Kenya,"2,122.00"
India,"2,031.00"
Bangladesh,"1,990.00"
Uzbekistan,"1,836.00"
Nicaragua,"1,828.00"
Kiribati,"1,817.00"
Mauritania,"1,782.00"
Cambodia,"1,680.00"
Cameroon,"1,657.00"
Senegal,"1,629.00"
Venezuela,"1,586.00"
Myanmar,"1,441.00"
Comoros,"1,431.00"
Benin,"1,400.00"
Timor-Leste,"1,273.00"
Kyrgyzstan,"1,270.00"
Nepal,"1,166.00"
Tanzania,"1,132.00"
Guinea,"1,067.00"
Lesotho,"1,018.00"
Zambia,"1,006.00"
Mali,992
Uganda,971
Ethiopia,918
Tajikistan,851
Burkina Faso,851
Guinea-Bissau,844
Rwanda,820
The Gambia,809
Togo,759
Sudan,714
Chad,710
Haiti,698
Liberia,646
Eritrea,632
Yemen,573
Niger,567
Madagascar,554
Central African Republic,522
Zimbabwe,516
Afghanistan,506
Democratic Republic of the Congo,478
Sierra Leone,471
Mozambique,431
Malawi,397
South Sudan,323
Burundi,267
